signal,version,IS_n,IS_mean,IS_t,IS_sr,OOS_n,OOS_mean,OOS_t,OOS_sr,POST_n,POST_mean,POST_t,POST_sr,P2015_n,P2015_mean,P2015_t,P2015_sr,IS_skew,IS_worst,IS_worst_z,IS_maxdd_pp,Year,SampleStartYear,SampleEndYear,Cat.Data,Cat.Economic,mech,mech_reason,data_src,Portfolio Period,Stock Weight,Return,T-Stat,Predictability in OP,LongDescription,q5_ew__IS_mean,q5_ew__IS_t,q5_ew__IS_sr,q5_ew__OOS_mean,q5_ew__OOS_t,q5_ew__OOS_sr,q5_ew__POST_mean,q5_ew__POST_t,q5_ew__POST_sr,q5_ew__P2015_mean,q5_ew__P2015_t,q5_ew__P2015_sr,q5_vw__IS_mean,q5_vw__IS_t,q5_vw__IS_sr,q5_vw__OOS_mean,q5_vw__OOS_t,q5_vw__OOS_sr,q5_vw__POST_mean,q5_vw__POST_t,q5_vw__POST_sr,q5_vw__P2015_mean,q5_vw__P2015_t,q5_vw__P2015_sr,me_gt_nyse20__IS_mean,me_gt_nyse20__IS_t,me_gt_nyse20__IS_sr,me_gt_nyse20__OOS_mean,me_gt_nyse20__OOS_t,me_gt_nyse20__OOS_sr,me_gt_nyse20__POST_mean,me_gt_nyse20__POST_t,me_gt_nyse20__POST_sr,me_gt_nyse20__P2015_mean,me_gt_nyse20__P2015_t,me_gt_nyse20__P2015_sr,nyse_only__IS_mean,nyse_only__IS_t,nyse_only__IS_sr,nyse_only__OOS_mean,nyse_only__OOS_t,nyse_only__OOS_sr,nyse_only__POST_mean,nyse_only__POST_t,nyse_only__POST_sr,nyse_only__P2015_mean,nyse_only__P2015_t,nyse_only__P2015_sr,op_OOS_ratio,op_POST_ratio,op_P2015_ratio,q5_ew_OOS_ratio,q5_ew_POST_ratio,q5_ew_P2015_ratio,q5_vw_OOS_ratio,q5_vw_POST_ratio,q5_vw_P2015_ratio,me_gt_nyse20_OOS_ratio,me_gt_nyse20_POST_ratio,me_gt_nyse20_P2015_ratio,smallcap_share_screen,smallcap_share_vw,monthly_rebal,op_OOS_ratio_c,op_POST_ratio_c,op_P2015_ratio_c,q5_ew_OOS_ratio_c,q5_ew_POST_ratio_c,q5_ew_P2015_ratio_c,q5_vw_OOS_ratio_c,q5_vw_POST_ratio_c,q5_vw_P2015_ratio_c,me_gt_nyse20_OOS_ratio_c,me_gt_nyse20_POST_ratio_c,me_gt_nyse20_P2015_ratio_c,alive_2015,alive_2015_big,sc_terc,skew_terc,pub_era
DelCOL,op,480,0.3549,4.4123,0.6976,48,0.5838,2.0206,1.0103,228,0.0991,0.8524,0.1956,120,0.1741,0.9975,0.3155,0.0823,-6.9242,-4.1307,-21.8800,2005,1962,2001,Accounting,external financing,M4,rule: Cat.Economic=external financing,accounting,12.0000,EW,,4.4900,1_clear,Change in current operating liabilities,0.3549,4.4123,0.6976,0.5838,2.0206,1.0103,0.0991,0.8524,0.1956,0.1741,0.9975,0.3155,-0.0302,-0.2112,-0.0334,0.0851,0.2571,0.1285,-0.2639,-1.2645,-0.2901,-0.2333,-0.7971,-0.2521,0.1426,1.3412,0.2121,0.3587,1.2372,0.6186,-0.0032,-0.0243,-0.0056,-0.0213,-0.1093,-0.0346,0.1052,1.4231,0.2250,-0.1052,-0.5286,-0.2643,-0.0510,-0.3590,-0.0824,0.0426,0.1992,0.0630,1.6449,0.2792,0.4906,1.6449,0.2792,0.4906,-2.8208,8.7500,7.7355,2.5154,-0.0226,-0.1493,0.5982,1.0850,0,1.6449,0.2792,0.4906,1.6449,0.2792,0.4906,-1.5000,2.5000,2.5000,2.5000,-0.0226,-0.1493,0,0,high (microcap),mid,1996-2005
DelEqu,op,468,0.4663,3.1810,0.5094,48,1.3242,2.2116,1.1058,228,0.2924,1.5699,0.3602,120,0.3477,1.2051,0.3811,1.2242,-8.2291,-2.7418,-32.4475,2005,1963,2001,Accounting,investment,M6,rule: Cat.Economic=investment,accounting,12.0000,EW,,6.2500,1_clear,Change in equity to assets,0.4663,3.1810,0.5094,1.3242,2.2116,1.1058,0.2924,1.5699,0.3602,0.3477,1.2051,0.3811,0.1332,0.8317,0.1332,0.5473,0.9900,0.4950,0.1809,0.9522,0.2184,0.1558,0.5105,0.1614,0.3081,2.3518,0.3766,0.7576,1.8636,0.9318,0.2306,1.5748,0.3613,0.2519,1.1077,0.3503,0.2192,1.7978,0.2879,0.1292,0.4850,0.2425,0.2251,1.1504,0.2639,0.2250,0.7924,0.2506,2.8395,0.6270,0.7456,2.8395,0.6270,0.7456,4.1083,1.3581,1.1693,2.4593,0.7485,0.8178,0.3394,0.7143,0,2.5000,0.6270,0.7456,2.5000,0.6270,0.7456,2.5000,1.3581,1.1693,2.4593,0.7485,0.8178,0,0,mid,pos skew,1996-2005
DelFINL,op,480,0.7176,12.0552,1.9061,48,0.5634,3.5735,1.7867,228,0.1931,2.0009,0.4590,120,0.0224,0.1427,0.0451,-0.0158,-5.5161,-4.7798,-7.0416,2005,1962,2001,Accounting,external financing,M4,rule: Cat.Economic=external financing,accounting,12.0000,EW,,8.0100,1_clear,Change in financial liabilities,0.7176,12.0552,1.9061,0.5634,3.5735,1.7867,0.1931,2.0009,0.4590,0.0224,0.1427,0.0451,0.3741,4.9328,0.7800,0.2899,1.3981,0.6991,-0.1558,-1.1500,-0.2638,-0.4090,-1.8634,-0.5893,0.4334,7.9026,1.2495,0.3812,2.3277,1.1638,0.1153,1.1475,0.2633,0.0491,0.3148,0.0995,0.4527,6.8753,1.0871,0.3255,1.8948,0.9474,0.1550,1.3076,0.3000,0.0507,0.2666,0.0843,0.7852,0.2691,0.0312,0.7852,0.2691,0.0312,0.7750,-0.4164,-1.0933,0.8794,0.2660,0.1133,0.3960,0.4787,0,0.7852,0.2691,0.0312,0.7852,0.2691,0.0312,0.7750,-0.4164,-1.0933,0.8794,0.2660,0.1133,0,0,high (microcap),mid,1996-2005
DelLTI,op,480,0.1608,2.4783,0.3919,48,0.4674,2.3623,1.1811,228,0.1250,1.6997,0.3899,120,0.1523,1.3022,0.4118,1.8122,-4.5643,-3.3246,-19.6088,2005,1962,2001,Accounting,investment,M6,rule: Cat.Economic=investment,accounting,12.0000,EW,,3.3800,1_clear,Change in long-term investment,0.1608,2.4783,0.3919,0.4674,2.3623,1.1811,0.1250,1.6997,0.3899,0.1523,1.3022,0.4118,0.0596,0.8853,0.1400,0.1642,0.5515,0.2757,0.1526,1.4294,0.3279,0.2228,1.3545,0.4283,0.0738,1.2493,0.1975,0.3404,1.8731,0.9366,0.1404,1.7652,0.4050,0.1693,1.4121,0.4465,0.1279,2.1683,0.3428,0.1627,0.9620,0.4810,0.0452,0.4341,0.0996,0.0472,0.3339,0.1056,2.9075,0.7774,0.9471,2.9075,0.7774,0.9471,2.7539,2.5583,3.7355,4.6109,1.9016,2.2929,0.5409,0.6291,0,2.5000,0.7774,0.9471,2.5000,0.7774,0.9471,2.5000,2.5000,2.5000,2.5000,1.9016,2.2929,0,0,high (microcap),pos skew,1996-2005
DelNetFin,op,480,0.5453,8.9149,1.4096,48,-0.1969,-0.7628,-0.3814,228,0.0249,0.2360,0.0541,120,-0.1020,-0.6139,-0.1941,-0.5632,-7.4773,-5.9868,-10.0337,2005,1962,2001,Accounting,investment alt,M6,rule: Cat.Economic=investment alt,accounting,12.0000,EW,,5.8500,1_clear,Change in net financial assets,0.5453,8.9149,1.4096,-0.1969,-0.7628,-0.3814,0.0249,0.2360,0.0541,-0.1020,-0.6139,-0.1941,0.2569,2.6773,0.4233,-0.1319,-0.4599,-0.2300,-0.0460,-0.3811,-0.0874,-0.1297,-0.7018,-0.2219,0.3362,5.7706,0.9124,-0.0829,-0.4246,-0.2123,0.0061,0.0631,0.0145,-0.0410,-0.2792,-0.0883,0.3570,5.9303,0.9377,0.2789,1.2634,0.6317,0.0750,0.6501,0.1491,-0.0397,-0.2176,-0.0688,-0.3612,0.0457,-0.1871,-0.3612,0.0457,-0.1871,-0.5133,-0.1792,-0.5048,-0.2464,0.0182,-0.1219,0.3834,0.5288,0,-0.3612,0.0457,-0.1871,-0.3612,0.0457,-0.1871,-0.5133,-0.1792,-0.5048,-0.2464,0.0182,-0.1219,0,0,high (microcap),neg skew,1996-2005
DivInit,op,300,0.5828,5.6730,1.1346,84,0.4031,2.0733,0.7836,348,0.2638,1.3571,0.2520,120,0.3385,1.0739,0.3396,0.2492,-4.7140,-2.9766,-8.1490,1995,1964,1988,Event,payout indicator,M4,rule: Cat.Economic=payout indicator,event,1.0000,EW,0.6250,3.3700,1_clear,Dividend Initiation,,,,,,,,,,,,,,,,,,,,,,,,,0.5421,3.4173,0.6835,0.1796,1.0230,0.3867,0.1583,0.9651,0.1792,-0.0242,-0.1019,-0.0322,0.3762,1.9580,0.3916,-0.0006,-0.0022,-0.0008,-0.0213,-0.1292,-0.0240,-0.3296,-1.2111,-0.3830,0.6916,0.4527,0.5807,,,,,,,0.3312,0.2920,-0.0446,0.0699,,1,0.6916,0.4527,0.5807,,,,,,,0.3312,0.2920,-0.0446,0,0,low (big-cap ok),mid,<=1995
DivOmit,op,300,0.4835,2.8629,0.5726,84,0.3858,1.1184,0.4227,347,0.8526,2.9492,0.5484,120,1.3737,2.5928,0.8199,0.0957,-10.4477,-3.7370,-24.5791,1995,1964,1988,Event,payout indicator,M4,rule: Cat.Economic=payout indicator,event,1.0000,EW,0.9167,6.3300,1_clear,Dividend Omission,,,,,,,,,,,,,,,,,,,,,,,,,0.1945,0.9505,0.1914,-0.6411,-1.3895,-0.5252,0.4134,1.3113,0.2442,0.6548,1.1343,0.3587,0.5702,2.2341,0.4468,-0.6396,-0.8643,-0.3267,0.5249,1.2955,0.2434,1.0759,1.7204,0.5486,0.7980,1.7633,2.8412,,,,,,,-3.2966,2.1257,3.3671,0.5978,,1,0.7980,1.7633,2.5000,,,,,,,-1.5000,2.1257,2.5000,1,0,high (microcap),mid,<=1995
DivSeason,op,1020,0.3244,14.1125,1.5307,24,0.1929,1.7947,1.2691,132,0.0909,2.1100,0.6362,120,0.0913,1.9694,0.6228,0.1308,-3.3151,-4.9572,-7.2461,2013,1927,2011,Event,payout indicator,M2,predictable dividend-month demand,event,1.0000,EW,0.3600,16.1936,1_clear,Dividend seasonality,,,,,,,,,,,,,,,,,,,,,,,,,0.2695,12.1224,1.3149,0.0125,0.1252,0.0885,0.0096,0.2101,0.0633,0.0179,0.3666,0.1159,0.2195,9.1648,0.9941,0.0385,0.3468,0.2452,-0.0179,-0.2826,-0.0852,-0.0027,-0.0404,-0.0128,0.5947,0.2801,0.2813,,,,,,,0.0464,0.0357,0.0664,0.1694,,1,0.5947,0.2801,0.2813,,,,,,,0.0464,0.0357,0.0664,1,0,mid,mid,2011-2016
DivYieldST,op,501,0.5733,5.3961,0.8351,24,0.2394,0.6517,0.4608,540,0.6312,9.6142,1.4332,120,0.2522,1.6841,0.5326,6.0640,-5.5128,-2.5593,-16.1555,1979,1936,1977,Accounting,valuation,M6,predicted dividend yield,accounting,,EW,,6.3000,1_clear,Predicted div yield next month,,,,,,,,,,,,,,,,,,,,,,,,,0.5049,4.5764,0.7083,-0.0668,-0.1865,-0.1318,0.4018,5.5837,0.8324,0.1086,0.7344,0.2322,0.4980,4.6329,0.7170,-0.1427,-0.4383,-0.3100,0.2976,3.5885,0.5349,0.1492,0.7283,0.2303,0.4177,1.1010,0.4399,,,,,,,-0.1323,0.7958,0.2151,0.1192,,0,0.4177,1.1010,0.4399,,,,,,,-0.1323,0.7958,0.2151,1,0,low (big-cap ok),pos skew,<=1995
dNoa,op,468,1.0529,9.3071,1.4903,24,1.2449,2.2344,1.5799,240,0.2008,1.6695,0.3733,120,0.0831,0.4689,0.1483,0.8992,-7.0162,-3.2972,-13.5325,2004,1964,2002,Accounting,investment,M6,rule: Cat.Economic=investment,accounting,1.0000,EW,,8.8500,1_clear,change in net operating assets,1.0529,9.3071,1.4903,1.2449,2.2344,1.5799,0.2008,1.6695,0.3733,0.0831,0.4689,0.1483,0.5457,4.5201,0.7238,0.7649,1.3880,0.9814,0.1094,0.7134,0.1595,0.0479,0.1900,0.0601,0.7186,6.8445,1.0960,0.3868,1.0855,0.7676,0.1070,0.9205,0.2058,0.0127,0.0738,0.0233,0.5887,5.9242,0.9486,0.5345,1.7624,1.2462,0.1226,0.8240,0.1842,-0.0391,-0.1837,-0.0581,1.1824,0.1907,0.0789,1.1824,0.1907,0.0789,1.4016,0.2005,0.0878,0.5382,0.1489,0.0177,0.3174,0.4817,1,1.1824,0.1907,0.0789,1.1824,0.1907,0.0789,1.4016,0.2005,0.0878,0.5382,0.1489,0.0177,0,0,mid,pos skew,1996-2005
DolVol,op,360,0.7596,2.7652,0.5049,36,0.1627,0.1997,0.1153,312,0.3879,1.8869,0.3701,120,-0.0364,-0.1713,-0.0542,1.2163,-14.8687,-2.9984,-55.8857,1998,1966,1995,Trading,volume,M3,rule: Cat.Economic=volume,volume,1.0000,EW,,2.8600,1_clear,Past trading volume,0.7596,2.7652,0.5049,0.1627,0.1997,0.1153,0.3879,1.8869,0.3701,-0.0364,-0.1713,-0.0542,0.1447,0.7014,0.1281,-0.9636,-1.7676,-1.0205,0.0140,0.0765,0.0150,-0.6578,-2.1503,-0.6800,0.2632,1.7328,0.3164,-0.2883,-0.4749,-0.2742,0.0417,0.2490,0.0488,-0.2737,-1.7053,-0.5393,0.3804,1.6957,0.3096,-0.7253,-1.6202,-0.9354,0.0004,0.0027,0.0005,-0.2071,-1.0198,-0.3225,0.2141,0.5107,-0.0479,0.2141,0.5107,-0.0479,-6.6614,0.0970,-4.5471,-1.0951,0.1583,-1.0399,0.6535,0.8096,1,0.2141,0.5107,-0.0479,0.2141,0.5107,-0.0479,-1.5000,0.0970,-1.5000,-1.0951,0.1583,-1.0399,0,0,high (microcap),pos skew,1996-2005
EarningsConsistency,op,384,0.2066,2.5109,0.4439,84,0.2627,1.3154,0.4972,180,0.3617,2.0873,0.5389,120,0.5750,2.6558,0.8398,-0.2143,-5.3321,-3.4345,-26.3782,2009,1971,2002,Accounting,earnings growth,M4,rule: Cat.Economic=earnings growth,accounting,12.0000,EW,0.3608,2.6700,1_clear,Earnings consistency,0.2066,2.5109,0.4439,0.2627,1.3154,0.4972,0.3617,2.0873,0.5389,0.5750,2.6558,0.8398,0.2499,1.3782,0.2436,0.3359,1.0922,0.4128,0.4826,1.6318,0.4213,0.5286,1.3140,0.4155,0.2351,2.2396,0.3959,0.1069,0.4705,0.1778,0.1843,1.3615,0.3515,0.3484,2.1112,0.6676,0.3651,3.0393,0.5373,0.1218,0.4012,0.1516,0.3729,1.7979,0.4642,0.4971,1.8836,0.5957,1.2713,1.7502,2.7825,1.2713,1.7502,2.7825,1.3443,1.9316,2.1158,0.4548,0.7838,1.4817,-0.1378,-0.2091,0,1.2713,1.7502,2.5000,1.2713,1.7502,2.5000,1.3443,1.9316,2.1158,0.4548,0.7838,1.4817,1,1,low (big-cap ok),neg skew,2006-2010
EarningsForecastDisparity,op,288,0.6558,4.3347,0.8848,60,0.0796,0.1823,0.0815,156,0.1529,0.7163,0.1987,120,0.0199,0.0746,0.0236,-0.2923,-11.4023,-4.6968,-19.3492,2011,1983,2006,Analyst,earnings forecast,M4,rule: Cat.Economic=earnings forecast,analyst,1.0000,EW,0.4800,5.0800,1_clear,Long-vs-short EPS forecasts,0.6558,4.3347,0.8848,0.0796,0.1823,0.0815,0.1529,0.7163,0.1987,0.0199,0.0746,0.0236,0.2024,0.9223,0.1883,0.5253,0.8660,0.3873,0.4324,1.3999,0.3883,0.3599,0.9276,0.2933,0.5652,3.8023,0.7761,-0.3986,-0.7638,-0.3416,0.1409,0.6686,0.1854,0.0068,0.0258,0.0082,0.3903,2.9913,0.6106,-0.2036,-0.3422,-0.1530,-0.0000,-0.0000,-0.0000,-0.1796,-0.5801,-0.1834,0.1215,0.2332,0.0304,0.1215,0.2332,0.0304,2.5948,2.1360,1.7780,-0.7053,0.2493,0.0121,0.1382,0.6913,1,0.1215,0.2332,0.0304,0.1215,0.2332,0.0304,2.5000,2.1360,1.7780,-0.7053,0.2493,0.0121,0,0,mid,neg skew,2011-2016
EarningsStreak,op,276,1.0931,10.5553,2.2009,36,0.4047,2.1341,1.2321,144,0.6819,4.2775,1.2348,120,0.6669,3.5570,1.1248,-0.5239,-4.6918,-3.3625,-9.9913,2012,1987,2009,Accounting,earnings growth,M4,rule: Cat.Economic=earnings growth,accounting,1.0000,EW,0.9570,9.5100,1_clear,Earnings surprise streak,1.0931,10.5553,2.2009,0.4047,2.1341,1.2321,0.6819,4.2775,1.2348,0.6669,3.5570,1.1248,0.7092,4.4941,0.9371,0.7048,1.9602,1.1317,0.2484,1.2845,0.3708,0.2600,1.1514,0.3641,0.8243,7.2868,1.5194,0.2876,1.4704,0.8489,0.4009,2.2481,0.6490,0.3698,1.7511,0.5538,0.9096,5.6935,1.1872,0.6930,3.2545,1.8790,0.2470,1.2926,0.3731,0.1599,0.7098,0.2244,0.3703,0.6238,0.6102,0.3703,0.6238,0.6102,0.9939,0.3503,0.3667,0.3489,0.4863,0.4486,0.2458,0.3512,1,0.3703,0.6238,0.6102,0.3703,0.6238,0.6102,0.9939,0.3503,0.3667,0.3489,0.4863,0.4486,1,1,mid,neg skew,2011-2016
EarningsSurprise,op,96,1.1304,4.8566,1.7171,36,0.7648,2.9786,1.7197,480,0.4003,4.8738,0.7706,120,0.0353,0.1968,0.0622,-0.8862,-9.6194,-4.7136,-9.6927,1984,1974,1981,Accounting,earnings growth,M4,PEAD,accounting,1.0000,EW,2.9750,,1_clear,Earnings Surprise,0.9235,5.1617,1.8249,0.6672,3.6711,2.1195,0.4028,5.8959,0.9322,0.1665,1.0558,0.3339,0.5159,1.9027,0.6727,-0.0172,-0.0691,-0.0399,0.0432,0.4431,0.0701,-0.0050,-0.0232,-0.0073,0.8487,3.3555,1.1863,0.2668,1.0232,0.5907,0.1045,1.0940,0.1730,-0.0356,-0.1918,-0.0606,0.9914,3.2450,1.1473,0.5182,1.8159,1.0484,0.1093,0.8839,0.1398,0.0353,0.1324,0.0419,0.6766,0.3541,0.0312,0.7224,0.4362,0.1803,-0.0334,0.0837,-0.0096,0.3144,0.1231,-0.0420,0.2493,0.4413,1,0.6766,0.3541,0.0312,0.7224,0.4362,0.1803,-0.0334,0.0837,-0.0096,0.3144,0.1231,-0.0420,0,0,mid,neg skew,<=1995
EarnSupBig,op,360,0.3991,2.3619,0.4312,72,0.2265,0.7986,0.3260,204,0.4758,1.9993,0.4849,120,0.7703,2.2645,0.7161,-0.7917,-17.4870,-5.5788,-34.3070,2007,1972,2001,Accounting,lead lag,M5,rule: Cat.Economic=lead lag,accounting,1.0000,EW,,8.9100,1_clear,Earnings surprise of big firms,0.3991,2.3619,0.4312,0.2265,0.7986,0.3260,0.4758,1.9993,0.4849,0.7703,2.2645,0.7161,0.3899,1.9778,0.3611,-0.0043,-0.0159,-0.0065,-0.0233,-0.0971,-0.0236,0.1908,0.6079,0.1922,0.4185,2.0772,0.3792,-0.1952,-0.7101,-0.2899,0.2098,0.8885,0.2155,0.5177,1.6275,0.5147,0.1131,0.5765,0.1053,0.0928,0.2768,0.1130,0.2891,0.8343,0.2023,0.7571,1.5368,0.4860,0.5675,1.1921,1.9301,0.5675,1.1921,1.9301,-0.0109,-0.0596,0.4893,-0.4665,0.5013,1.2370,-0.0487,0.0230,1,0.5675,1.1921,1.9301,0.5675,1.1921,1.9301,-0.0109,-0.0596,0.4893,-0.4665,0.5013,1.2370,1,1,low (big-cap ok),neg skew,2006-2010
EBM,op,468,0.3005,4.0623,0.6505,72,-0.1067,-0.8138,-0.3322,204,0.2142,1.7227,0.4178,120,0.3380,1.8997,0.6008,0.2563,-4.6837,-3.1142,-27.0055,2007,1963,2001,Accounting,valuation,M6,rule: Cat.Economic=valuation,accounting,12.0000,EW,0.1200,3.0000,1_clear,Enterprise component of BM,0.5301,5.3468,0.8562,0.1968,1.2466,0.5089,0.1967,1.5277,0.3705,0.2390,1.3127,0.4151,0.3734,2.9227,0.4680,0.0487,0.1899,0.0775,-0.0752,-0.2893,-0.0702,0.0061,0.0183,0.0058,0.2571,2.8678,0.4592,0.0551,0.3124,0.1275,0.1852,1.2751,0.3093,0.2772,1.5046,0.4758,0.1354,1.5212,0.2436,-0.1653,-0.8022,-0.3275,0.0903,0.4948,0.1200,0.1236,0.5624,0.1778,-0.3550,0.7128,1.1247,0.3713,0.3711,0.4509,0.1303,-0.2014,0.0163,0.2142,0.7203,1.0779,0.1445,0.2955,0,-0.3550,0.7128,1.1247,0.3713,0.3711,0.4509,0.1303,-0.2014,0.0163,0.2142,0.7203,1.0779,1,1,mid,mid,2006-2010
EntMult,op,564,0.8599,5.6160,0.8192,24,-0.0697,-0.2120,-0.1499,156,0.2814,0.8494,0.2356,120,0.2597,0.6161,0.1948,0.0386,-16.7968,-4.8555,-63.6774,2011,1963,2009,Accounting,valuation,M6,rule: Cat.Economic=valuation,accounting,12.0000,EW,0.9500,6.5400,1_clear,Enterprise Multiple,0.7532,6.3668,0.9287,-0.1865,-0.6578,-0.4652,0.1639,0.5987,0.1660,0.1371,0.3903,0.1234,0.4733,2.9903,0.4362,0.2456,0.6776,0.4791,-0.2908,-0.7378,-0.2046,-0.4505,-0.9100,-0.2878,0.5867,2.9788,0.4345,-0.2840,-0.8683,-0.6140,0.2057,0.5539,0.1536,0.1918,0.4061,0.1284,0.5391,4.4507,0.6492,0.0687,0.1521,0.1075,0.5818,1.4335,0.3976,0.6743,1.2993,0.4109,-0.0811,0.3272,0.3020,-0.2476,0.2176,0.1820,0.5189,-0.6144,-0.9517,-0.4841,0.3506,0.3269,0.3177,0.3716,0,-0.0811,0.3272,0.3020,-0.2476,0.2176,0.1820,0.5189,-0.6144,-0.9517,-0.4841,0.3506,0.3269,0,0,mid,mid,2011-2016
EP,op,180,0.3667,2.0672,0.5337,72,0.7227,1.4931,0.6096,564,0.2034,1.6784,0.2448,120,0.2690,0.7993,0.2528,0.1921,-8.4916,-3.7218,-15.3604,1977,1957,1971,Accounting,valuation,M6,rule: Cat.Economic=valuation,accounting,1.0000,EW,0.5800,,1_clear,Earnings-to-Price Ratio,0.3667,2.0672,0.5337,0.7227,1.4931,0.6096,0.2034,1.6784,0.2448,0.2690,0.7993,0.2528,0.3008,1.3412,0.3463,0.7797,1.3331,0.5442,0.2523,1.7822,0.2600,0.3222,0.8856,0.2801,0.2939,1.4683,0.3791,0.8714,1.8905,0.7718,0.2641,1.7641,0.2573,0.1374,0.4504,0.1424,0.3667,2.0672,0.5337,0.7227,1.4931,0.6096,0.2034,1.6784,0.2448,0.2690,0.7993,0.2528,1.9706,0.5547,0.7335,1.9706,0.5547,0.7335,2.5922,0.8387,1.0712,2.9644,0.8986,0.4673,0.1985,0.1798,1,1.9706,0.5547,0.7335,1.9706,0.5547,0.7335,2.5000,0.8387,1.0712,2.5000,0.8986,0.4673,0,0,mid,mid,<=1995
EquityDuration,op,426,0.5989,3.3213,0.5574,72,1.5412,1.7396,0.7102,240,0.0075,0.0338,0.0076,120,-0.0965,-0.2667,-0.0844,0.1695,-14.4230,-4.0363,-32.8132,2004,1962,1998,Accounting,valuation,M6,rule: Cat.Economic=valuation,accounting,12.0000,VW,0.5000,4.3685,1_clear,Equity Duration,0.5989,3.3213,0.5574,1.5412,1.7396,0.7102,0.0075,0.0338,0.0076,-0.0965,-0.2667,-0.0844,0.5989,3.3213,0.5574,1.5412,1.7396,0.7102,0.0075,0.0338,0.0076,-0.0965,-0.2667,-0.0844,0.3479,2.1194,0.3557,1.5064,1.9592,0.7998,-0.2483,-1.0468,-0.2341,-0.4797,-1.1664,-0.3689,0.3631,2.2559,0.3786,1.2096,2.9631,1.2097,-0.0206,-0.0962,-0.0215,-0.1276,-0.3852,-0.1218,2.5735,0.0125,-0.1611,2.5735,0.0125,-0.1611,2.5735,0.0125,-0.1611,4.3294,-0.7137,-1.3786,0.4190,0.0000,0,2.5000,0.0125,-0.1611,2.5000,0.0125,-0.1611,2.5000,0.0125,-0.1611,2.5000,-0.7137,-1.3786,0,0,high (microcap),mid,1996-2005
ExchSwitch,op,338,0.4466,2.8838,0.5434,60,0.8468,2.8367,1.2686,348,0.7737,3.7763,0.7012,120,0.8365,1.9275,0.6095,-0.0294,-10.4710,-3.8346,-28.3186,1995,1962,1990,Event,other,M2,listing change shifts investor base/index membership,event,1.0000,EW,0.4550,3.6100,1_clear,Exchange Switch,,,,,,,,,,,,,,,,,,,,,,,,,0.2929,1.5629,0.2945,0.4778,2.0513,0.9174,0.6174,2.8640,0.5318,0.8327,1.8927,0.5985,0.2978,1.7090,0.3220,0.5115,1.9424,0.8687,0.7395,3.4436,0.6395,1.0520,2.2825,0.7218,1.8960,1.7324,1.8730,,,,,,,1.6311,2.1076,2.8427,0.3441,,1,1.8960,1.7324,1.8730,,,,,,,1.6311,2.1076,2.5000,1,1,mid,mid,<=1995
ExclExp,op,144,0.2521,2.8810,0.8317,48,0.5757,1.0363,0.5182,252,0.0509,0.5631,0.1229,120,0.0891,0.6676,0.2111,-0.3059,-3.5036,-3.5761,-4.7914,2003,1988,1999,Analyst,composite accounting,M4,rule: Cat.Economic=composite accounting,analyst,12.0000,EW,,6.7800,1_clear,Excluded Expenses,0.2521,2.8810,0.8317,0.5757,1.0363,0.5182,0.0509,0.5631,0.1229,0.0891,0.6676,0.2111,0.0692,0.5941,0.1715,0.3965,1.0300,0.5150,0.0637,0.6957,0.1518,0.0623,0.4366,0.1381,0.1403,1.4653,0.4230,0.5615,1.0433,0.5217,0.0567,0.6355,0.1387,0.1437,1.0880,0.3441,0.2220,2.3263,0.6716,0.0085,0.0275,0.0138,0.0398,0.3182,0.0694,0.1998,0.9418,0.2978,2.2831,0.2019,0.3535,2.2831,0.2019,0.3535,5.7330,0.9214,0.9014,4.0038,0.4040,1.0247,0.4438,0.7257,0,2.2831,0.2019,0.3535,2.2831,0.2019,0.3535,2.5000,0.9214,0.9014,2.5000,0.4040,1.0247,0,0,high (microcap),neg skew,1996-2005
FEPS,op,240,1.4786,3.0676,0.6859,48,0.3429,0.6119,0.3060,216,0.6445,1.7469,0.4118,120,0.8915,1.5746,0.4979,-0.2078,-32.2480,-4.5166,-148.1819,2006,1983,2002,Analyst,profitability,M6,rule: Cat.Economic=profitability,analyst,1.0000,EW,1.1990,2.6600,1_clear,Analyst earnings per share,1.1751,2.6916,0.6019,0.0127,0.0267,0.0134,0.5817,2.0108,0.4740,0.7742,1.6876,0.5337,0.8687,2.1410,0.4787,-0.3156,-0.6136,-0.3068,0.6290,1.8604,0.4385,0.6684,1.3521,0.4276,1.2759,2.4213,0.5414,0.0487,0.0708,0.0354,0.4609,1.2161,0.2866,0.7349,1.3065,0.4131,1.1808,3.0973,0.6926,-0.2762,-0.5689,-0.2845,0.5875,1.0814,0.2549,0.7970,1.0429,0.3298,0.2319,0.4359,0.6029,0.0108,0.4950,0.6589,-0.3633,0.7241,0.7694,0.0381,0.3612,0.5760,0.1371,0.2607,1,0.2319,0.4359,0.6029,0.0108,0.4950,0.6589,-0.3633,0.7241,0.7694,0.0381,0.3612,0.5760,1,0,mid,neg skew,2006-2010
